x_minutes,fitted_extra_minutes
10.0,5.0
15.0,7.0
20.0,10.0
25.0,10.0
30.0,10.0
35.0,10.0
40.0,10.0
45.0,13.333333333333334
50.0,13.333333333333334
55.0,13.333333333333334
60.0,15.0
65.0,15.0
70.0,17.22222222222222
75.0,17.22222222222222
80.0,17.22222222222222
85.0,17.22222222222222
90.0,17.22222222222222
95.0,17.22222222222222
100.0,17.22222222222222
105.0,17.22222222222222
110.0,17.22222222222222
115.0,20.0
120.0,25.625
125.0,25.625
130.0,25.625
140.0,25.625
145.0,28.75
150.0,28.75
155.0,28.75
160.0,28.75
165.0,32.5
180.0,32.5
240.0,32.5
300.0,60.0
